,Family Name,Given Name,Nation,Races,"Sh Time
P","Sh Time
S","Sh Time
T","Rg Time
P","Rg Time
S","Rg Time
T","Sh Time
IN","Sh Time
SP","Sh Time
Pu","Sh Time
MS","Rg Time
IN","Rg Time
SP","Rg Time
PU","Rg Time
MS","Penalty
Loop"
22,VITTOZZI,Lisa,ITA,15,0:31.3,0:26.9,0:29.1,0:52.7,0:48.6,0:50.6,0:27.8,0:29.5,0:29.5,0:27.0,0:52.3,0:51.1,0:51.0,0:45.5,0:25.2
23,TOIVANEN,Laura,FIN,4,0:30.4,0:27.7,0:29.1,0:52.4,0:50.0,0:51.2,0:28.5,0:30.2,,,0:49.9,0:54.0,,,0:25.8
24,PREUSS,Franziska,GER,17,0:30.6,0:27.8,0:29.2,0:50.9,0:47.3,0:49.1,0:28.2,0:28.7,0:29.5,0:29.5,0:49.8,0:49.4,0:49.9,0:46.9,0:24.5
25,INNERHOFER,Katharina,AUT,3,0:30.8,0:27.7,0:29.2,0:53.9,0:52.3,0:53.1,0:29.5,0:28.9,,,0:52.3,0:54.0,,,0:26.8
26,SEMERENKO,Valj,UKR,13,0:30.6,0:28.0,0:29.3,0:51.0,0:48.6,0:49.8,0:31.1,0:28.7,0:30.4,0:26.7,0:51.5,0:49.8,0:51.5,0:45.4,0:25.4
27,RAIKOVA,Alina,KAZ,7,0:31.2,0:27.4,0:29.3,0:54.2,0:49.7,0:52.0,0:30.1,0:27.3,0:30.0,,0:52.5,0:49.6,0:54.0,,0:24.3
28,TOFALVI,Eva,ROU,13,0:28.4,0:30.4,0:29.4,0:50.1,0:50.9,0:50.5,0:29.3,0:29.6,0:29.3,,0:51.4,0:51.5,0:49.2,,0:26.2
29,GEREKOVA,Jana,SVK,19,0:31.8,0:27.4,0:29.6,0:53.7,0:48.2,0:51.0,0:29.5,0:30.7,0:29.2,0:27.5,0:50.3,0:52.2,0:50.7,0:49.2,0:24.2
30,POLIAKOVA,Terezia,SVK,10,0:30.0,0:29.2,0:29.6,0:52.8,0:52.2,0:52.5,0:29.3,0:30.5,0:28.6,,0:53.7,0:54.0,0:49.2,,0:26.4
31,YURLOVA,Ekaterina,RUS,20,0:29.8,0:29.8,0:29.8,0:50.9,0:51.0,0:50.9,0:30.5,0:31.6,0:29.3,0:26.8,0:52.6,0:53.5,0:50.2,0:45.8,0:24.7
32,OLSBU,Marte,NOR,19,0:34.7,0:25.0,0:29.8,0:54.9,0:45.0,0:49.9,0:31.4,0:31.4,0:28.6,0:28.0,0:52.0,0:52.0,0:48.6,0:46.9,0:25.1
33,HAMMERSCHMIDT,Maren,GER,16,0:32.6,0:27.0,0:29.8,0:52.6,0:47.6,0:50.1,0:31.5,0:29.6,0:29.4,0:28.8,0:51.6,0:50.7,0:49.3,0:49.4,0:25.3
34,GUZIK,Krystyna,POL,23,0:32.3,0:27.7,0:30.0,0:52.7,0:49.0,0:50.8,0:33.1,0:29.1,0:30.5,0:28.5,0:53.4,0:49.8,0:51.8,0:49.0,0:25.2
35,NICOLAISEN,Kaia Woeien,NOR,7,0:32.3,0:28.0,0:30.1,0:53.6,0:47.9,0:50.8,0:32.5,0:28.8,0:30.3,,0:50.5,0:50.5,0:51.2,,0:24.6
36,DZHIMA,Yuliia,UKR,23,0:31.7,0:28.8,0:30.2,0:51.1,0:49.1,0:50.1,0:31.3,0:29.1,0:30.3,0:30.6,0:51.1,0:48.7,0:50.7,0:49.9,0:25.4
37,SOLA,Hanna,BLR,5,0:33.9,0:26.5,0:30.2,0:53.6,0:47.3,0:50.5,,0:30.2,,,,0:50.5,,,0:26.7
38,MITORAJ,Kinga,POL,4,0:30.8,0:29.6,0:30.2,0:53.2,0:51.4,0:52.3,0:30.2,0:30.2,0:30.2,,0:51.8,0:53.9,0:51.1,,0:25.3
39,GASPARIN,Aita,SUI,18,0:31.3,0:29.3,0:30.3,0:53.3,0:50.7,0:52.0,0:30.4,0:29.9,0:30.6,,0:52.1,0:51.6,0:52.3,,0:27.1
40,BOLLIET,Marine,FRA,4,0:38.3,0:22.4,0:30.3,1:01.6,0:46.0,0:53.8,0:31.7,0:31.3,0:28.0,,0:54.1,0:54.4,0:52.9,,0:26.2
